Iteration,NB,SVM,LR
0,0.8297872340425532,0.40425531914893614,0.7659574468085106
1,0.8936170212765957,0.40425531914893614,0.851063829787234
2,0.9787234042553191,0.23404255319148937,0.9574468085106383
3,0.9148936170212766,0.6382978723404256,0.8936170212765957
4,0.9361702127659575,0.40425531914893614,0.9148936170212766
5,0.9361702127659575,0.5319148936170213,0.8723404255319149
6,0.9148936170212766,0.2765957446808511,0.8936170212765957
7,0.9148936170212766,0.7021276595744681,0.9148936170212766
8,0.9574468085106383,0.5319148936170213,0.9574468085106383
9,0.9361702127659575,0.6595744680851063,0.8936170212765957
10,0.9361702127659575,0.6595744680851063,0.8936170212765957
11,0.9361702127659575,0.723404255319149,0.9361702127659575
12,0.9574468085106383,0.7659574468085106,0.9148936170212766
13,0.9361702127659575,0.6808510638297872,0.9148936170212766
14,0.9361702127659575,0.7659574468085106,0.851063829787234
15,0.9361702127659575,0.6595744680851063,0.9361702127659575
16,0.9787234042553191,0.7659574468085106,0.9787234042553191
17,0.9361702127659575,0.48936170212765956,0.9148936170212766
18,0.9787234042553191,0.7872340425531915,0.9361702127659575
19,0.9148936170212766,0.5319148936170213,0.8723404255319149
20,0.9148936170212766,0.5957446808510638,0.8936170212765957
21,0.9787234042553191,0.3829787234042553,0.9574468085106383
22,0.9148936170212766,0.425531914893617,0.8936170212765957
23,0.9148936170212766,0.3191489361702128,0.9148936170212766
24,0.8723404255319149,0.2978723404255319,0.8723404255319149
25,0.9574468085106383,0.7872340425531915,0.9574468085106383
26,0.8723404255319149,0.6170212765957447,0.8936170212765957
27,0.851063829787234,0.3829787234042553,0.8085106382978723
28,0.9148936170212766,0.7659574468085106,0.8936170212765957
29,0.9148936170212766,0.3829787234042553,0.8723404255319149
30,0.9148936170212766,0.48936170212765956,0.9148936170212766
31,0.9148936170212766,0.5957446808510638,0.9148936170212766
32,0.9361702127659575,0.723404255319149,0.8723404255319149
33,0.9787234042553191,0.5531914893617021,0.9361702127659575
34,0.9574468085106383,0.5531914893617021,0.9787234042553191
35,0.9787234042553191,0.723404255319149,1.0
36,0.9787234042553191,0.7659574468085106,0.9574468085106383
37,0.9574468085106383,0.8723404255319149,0.9574468085106383
38,0.9361702127659575,0.9148936170212766,0.9148936170212766
39,0.9148936170212766,0.723404255319149,0.8936170212765957
40,0.9574468085106383,0.6595744680851063,0.9361702127659575
41,0.9574468085106383,0.6808510638297872,0.9574468085106383
42,0.9574468085106383,0.6382978723404256,0.9361702127659575
43,0.8723404255319149,0.40425531914893614,0.8297872340425532
44,0.8936170212765957,0.3829787234042553,0.8723404255319149
45,0.9361702127659575,0.7021276595744681,0.9361702127659575
46,0.9148936170212766,0.5957446808510638,0.9361702127659575
47,0.9148936170212766,0.5957446808510638,0.8936170212765957
48,0.9361702127659575,0.6808510638297872,0.9148936170212766
49,0.9361702127659575,0.6382978723404256,0.9148936170212766
