Iteration,NB,SVM,LR
0,0.7021276595744681,0.9361702127659575,0.9574468085106383
1,0.8723404255319149,0.9574468085106383,0.9361702127659575
2,0.7872340425531915,0.7872340425531915,0.851063829787234
3,0.7872340425531915,0.851063829787234,0.9148936170212766
4,0.6808510638297872,0.8297872340425532,0.9361702127659575
5,0.8085106382978723,0.8297872340425532,0.8723404255319149
6,0.723404255319149,0.8723404255319149,0.9574468085106383
7,0.851063829787234,0.9361702127659575,0.9574468085106383
8,0.8297872340425532,0.8723404255319149,0.9361702127659575
9,0.9361702127659575,0.7872340425531915,0.9148936170212766
10,0.7021276595744681,0.8936170212765957,0.9148936170212766
11,0.851063829787234,0.8297872340425532,0.9148936170212766
12,0.7872340425531915,0.8723404255319149,0.9148936170212766
13,0.9148936170212766,0.8723404255319149,0.9148936170212766
14,0.8085106382978723,0.8936170212765957,0.9361702127659575
15,0.8085106382978723,0.851063829787234,0.9361702127659575
16,0.8723404255319149,0.8936170212765957,0.9574468085106383
17,0.851063829787234,0.8936170212765957,0.8936170212765957
18,0.8723404255319149,0.8723404255319149,0.9574468085106383
19,0.7659574468085106,0.851063829787234,0.8723404255319149
20,0.8297872340425532,0.851063829787234,0.9787234042553191
21,0.7659574468085106,0.9148936170212766,0.9574468085106383
22,0.851063829787234,0.851063829787234,0.8936170212765957
23,0.9148936170212766,0.851063829787234,0.8936170212765957
24,0.8936170212765957,0.851063829787234,0.9574468085106383
25,0.8936170212765957,0.8297872340425532,0.8936170212765957
26,0.851063829787234,0.9148936170212766,0.9574468085106383
27,0.7872340425531915,0.8936170212765957,0.9361702127659575
28,0.723404255319149,0.8723404255319149,0.8936170212765957
29,0.851063829787234,0.7872340425531915,0.8723404255319149
30,0.7872340425531915,0.8297872340425532,0.8936170212765957
31,0.8723404255319149,0.8723404255319149,0.8936170212765957
32,0.7659574468085106,0.9361702127659575,0.9787234042553191
33,0.8297872340425532,0.8297872340425532,0.9148936170212766
34,0.8085106382978723,0.851063829787234,0.8936170212765957
35,0.7659574468085106,0.851063829787234,0.9148936170212766
36,0.8723404255319149,0.8936170212765957,0.9148936170212766
37,0.8936170212765957,0.8723404255319149,0.8936170212765957
38,0.8297872340425532,0.7872340425531915,0.851063829787234
39,0.723404255319149,0.8936170212765957,0.9361702127659575
40,0.7659574468085106,0.851063829787234,0.9361702127659575
41,0.8085106382978723,0.851063829787234,0.9148936170212766
42,0.9148936170212766,0.851063829787234,0.9361702127659575
43,0.851063829787234,0.8085106382978723,0.8936170212765957
44,0.9148936170212766,0.851063829787234,0.9361702127659575
45,0.7021276595744681,0.851063829787234,0.8936170212765957
46,0.5957446808510638,0.7446808510638298,0.8723404255319149
47,0.8723404255319149,0.8723404255319149,0.9148936170212766
48,0.851063829787234,0.8085106382978723,0.8936170212765957
49,0.8723404255319149,0.851063829787234,0.8723404255319149
